Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2023,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"264,796","203,656",.,.,"468,451",39.8,39.7,.,.,79.5,"2,094,467","2,243,469",.,.,"4,337,936",27.7,38.7,.,.,66.5,"18,990","51,998",.,.,"70,988","7,127","10,636",.,.,"17,763","24,769","104,728",.,.,"129,497","8,454","12,866",.,.,"21,320",7.930,11.020,.,.,
2023,4254,Consumers Energy Co - (MI),MI,MISO,"178,491","388,952","94,441",.,"661,884",13.0,60.5,15.7,.,89.2,"1,071,541","4,087,437","1,119,275",.,"6,278,253",13.0,60.5,15.7,.,89.2,"32,449","42,076","13,287",.,"87,812","38,889","48,070","15,180",.,"102,140","32,449","42,076","13,287",.,"87,812","38,889","48,070","15,180",.,"102,140",6.003,10.509,11.852,.,https://mi-psc.force.com/s/
2023,4317,"Coos-Curry Electric Coop, Inc",OR,BPAT,201,936,95,.,"1,232",0.0,0.1,0.0,.,0.1,"4,595","25,850","1,146",.,"31,591",0.0,0.1,0.0,.,0.1,115,272,8,.,395,.,.,.,.,.,115,272,8,.,395,.,.,.,.,.,22.870,27.630,12.000,.,
2023,4363,Corn Belt Power Coop,IA,SWPP,"1,056",754,"3,283",.,"5,093",0.2,0.2,0.7,.,1.1,"20,517","9,102","49,104",.,"78,724",0.2,0.2,0.7,.,1.1,163,47,101,.,311,43,6,25,.,73,163,47,101,.,311,43,6,25,.,73,19.423,12.067,14.958,.,
2023,4401,"Cotton Electric Coop, Inc",OK,SWPP,130,.,.,.,130,0.0,.,.,.,0.0,"1,818",.,.,.,"1,818",0.0,.,.,.,0.0,53,.,.,.,53,8,.,.,.,8,92,.,.,.,92,8,.,.,.,8,14.000,.,.,.,www.cottonelectric.com
2023,4432,Coweta-Fayette El Member Corp,GA,SOCO,"1,523",.,.,.,"1,523",1.3,.,.,.,1.3,"15,226",.,.,.,"15,226",1.3,.,.,.,1.3,51,.,.,.,51,285,.,.,.,285,51,.,.,.,51,285,.,.,.,285,10.000,0.000,0.000,0.000,utility.org 
2023,4442,PUD No 1 of Cowlitz County,WA,BPAT,915,"1,677","70,828",0,"73,420",0.1,0.2,8.1,0.0,8.5,"14,207","19,376","714,066",0,"747,648",0.1,0.2,8.1,0.0,8.5,715,302,"2,399",0,"3,416",403,178,133,0,715,715,302,"2,399",0,"3,416",403,178,133,0,715,15.533,11.555,10.082,0.000,https://www.cowlitzpud.org/efficiency/conservation-potential-assessment/
2023,4671,Custer Public Power District,NE,SWPP,135,165,191,.,491,0.0,0.0,0.0,.,0.1,"2,370","1,813","2,118",.,"6,301",0.0,0.0,0.0,.,0.1,51,6,10,.,66,5,5,7,.,18,51,6,10,.,66,5,5,7,.,18,17.580,11.000,11.085,.,
2023,4683,City of Cuyahoga Falls - (OH),OH,PJM,0,6,223,0,229,0.0,0.0,0.1,0.0,0.1,0,97,"3,338",0,"3,435",0.0,0.0,0.1,0.0,0.1,0,3,12,0,15,0,0,0,0,0,0,3,12,0,15,0,0,0,0,0,.,15.000,15.000,.,
2023,4743,"Consumers Power, Inc",OR,BPAT,429,78,309,.,816,0.2,0.0,0.0,.,0.2,"7,751",758,"3,091",.,"11,599",0.2,0.0,0.0,.,0.2,204,14,56,.,274,43,8,31,.,81,204,14,56,.,274,43,8,31,.,81,18.053,10.000,10.000,0.000,
2023,4794,City of Danville - (VA),VA,PJM,152,232,86,.,470,0.1,0.1,0.0,.,0.2,"2,486","3,253","1,720",.,"7,458",0.1,0.1,0.0,.,0.2,51,16,9,.,76,175,.,.,.,175,51,16,9,.,76,175,.,.,.,175,14.630,14.000,20.000,.,
2023,4911,Dawson Power District,NE,SWPP,886,683,392,0,"1,960",0.2,0.1,0.0,0.0,0.3,"15,672","8,107","3,928",0,"27,707",0.2,0.1,0.0,0.0,0.3,281,51,12,0,344,36,27,6,0,69,281,51,12,0,344,36,27,6,0,69,17.695,11.878,10.023,.,
2023,5027,Delmarva Power,MD,PJM,"16,140","37,030",.,.,"53,170",3.1,15.1,.,.,18.2,"82,706","476,724",.,.,"559,430",3.1,15.1,.,.,18.2,"3,940","11,143",.,.,"15,083","4,058","4,885",.,.,"8,943","3,940","11,143",.,.,"15,083","4,058","4,885",.,.,"8,943",5.100,12.900,.,.,
2023,5063,City of Denton - (TX),TX,ERCO,334,.,.,.,334,0.1,.,.,.,0.1,"5,010",.,.,.,"5,010",0.1,.,.,.,0.1,273,.,.,.,273,40,.,.,.,40,273,.,.,.,273,40,.,.,.,40,15.000,.,.,.,
2023,5070,Delaware Electric Cooperative,DE,PJM,674,242,.,.,916,25.0,0.0,.,.,25.0,"2,779","1,620",.,.,"4,399",13.0,0.0,.,.,13.0,345,968,.,.,"1,313",34,108,.,.,142,345,968,.,.,"1,313",34,108,.,.,142,10.000,10.000,.,.,
2023,5109,DTE Electric Company,MI,MISO,"253,407","624,402",0,0,"877,809",49.6,147.2,0.0,0.0,196.9,"1,310,317","7,441,958",0,0,"8,752,275",37.8,130.2,0.0,0.0,168.0,0,0,0,0,0,"91,383","87,533",0,0,"178,916",0,0,0,0,0,"91,383","87,533",0,0,"178,916",5.050,9.830,0.000,0.000,
2023,5175,Dixie Electric Power Assn - (MS),MS,MISO,"2,661",.,.,.,"2,661",0.1,.,.,.,0.1,"7,240",.,.,.,"7,240",0.1,.,.,.,0.1,4,.,.,.,4,463,.,.,.,463,4,.,.,.,4,463,.,.,.,463,2.720,.,.,.,
2023,5204,Dixie Electric Coop - (AL),AL,SOCO,15,.,.,.,15,.,.,.,.,.,146,.,.,.,146,.,.,.,.,.,6,.,.,.,6,.,.,.,.,.,6,.,.,.,6,.,.,.,.,.,10.000,.,.,.,
2023,5416,"Duke Energy Carolinas, LLC",NC,DUK,"400,825","177,044",.,.,"577,869",72.8,29.3,.,.,102.2,"1,883,146","2,486,143",.,.,"4,369,289",72.8,29.3,.,.,102.2,"18,635","23,289",.,.,"41,924","16,090","11,508",.,.,"27,598","18,635","23,289",.,.,"41,924","16,090","11,508",.,.,"27,598",4.698,14.043,.,.,
2023,5416,"Duke Energy Carolinas, LLC",SC,DUK,"141,924","62,688",.,.,"204,611",25.8,10.4,.,.,36.2,"666,782","546,288",.,.,"1,213,070",25.8,10.4,.,.,36.2,"6,598","8,246",.,.,"14,845","5,697","4,075",.,.,"9,772","6,598","8,246",.,.,"14,845","5,697","4,075",.,.,"9,772",4.698,8.714,.,.,
2023,5417,Dunn County Electric Coop,WI,MISO,439,106,.,.,545,0.0,0.0,.,.,0.0,"8,507","1,413",.,.,"9,920",0.0,0.0,.,.,0.0,64,1,.,.,65,99,2,.,.,101,64,1,.,.,65,99,2,.,.,101,19.379,13.328,.,.,
2023,5487,Duquesne Light Co,PA,PJM,"20,427","63,340","16,913",.,"100,680",3.3,12.5,2.1,.,17.9,"110,059","561,549","239,185",.,"910,793",3.3,12.5,2.1,.,17.9,"2,146","10,310",904,.,"13,360","5,020","5,662","1,397",.,"12,079","2,146","10,310",904,.,"13,360","5,020","5,662","1,397",.,"12,079",5.819,9.712,9.997,.,
2023,5580,"East Kentucky Power Coop, Inc",KY,PJM,"5,276",.,.,.,"5,276",2.3,.,.,.,2.3,"94,826",.,.,.,"94,826",2.3,.,.,.,2.3,"1,044",.,.,.,"1,044",169,.,.,.,169,"1,044",.,.,.,"1,044",169,.,.,.,169,18.000,.,.,.,
2023,5605,Eastern Iowa Light & Power Coop,IA,MISO,295,235,0,0,529,0.0,0.0,0.0,0.0,0.1,"5,542","3,050",0,0,"8,591",0.0,0.0,0.0,0.0,0.1,97,3,0,0,100,23,0,0,0,23,97,3,0,0,100,23,0,0,0,23,18.800,13.000,0.000,.,
2023,5701,El Paso Electric Co,NM,EPE,"6,625","10,890",0,0,"17,515",1.7,1.8,0.0,0.0,3.5,"78,908","29,253",0,0,"108,161",1.7,1.8,0.0,0.0,3.5,"1,651","1,145",0,0,"2,796",954,"1,137",0,0,"2,091","1,651","1,145",0,0,"2,796",954,"1,137",0,0,"2,091",12.000,12.000,.,.,N/A
2023,5701,El Paso Electric Co,TX,EPE,"5,475","15,353",0,0,"20,828",2.0,3.5,0.0,0.0,5.5,"74,241","226,298",0,0,"300,539",2.0,3.5,0.0,0.0,5.5,"1,226",920,0,0,"2,146",66,106,0,0,172,"1,226",920,0,0,"2,146",66,106,0,0,172,14.000,15.000,.,.,N/A
2023,5729,Electrical Dist No8 Maricopa,AZ,AZPS,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,.,35,.,.,.,.,.,.,.,35,.,35,.,.,.,.,
2023,5773,City of Elk River,MN,MISO,227,488,"1,937",.,"2,652",.,.,.,.,.,"2,448","7,207","25,637",.,"35,292",.,.,.,.,.,78,22,50,.,150,122,67,78,.,267,78,22,50,.,150,122,67,78,.,267,12.620,14.780,13.280,.,
2023,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,143,285,414,.,843,0.0,0.0,0.0,.,0.1,"2,224","3,144","3,395",.,"8,763",0.0,0.0,0.0,.,0.1,46,12,29,.,87,4,9,20,.,33,46,12,29,.,87,4,9,20,.,33,15.516,11.013,8.195,.,www.erppd.com
2023,5832,Elmhurst Mutual Power & Light Co,WA,BPAT,204,895,.,.,"1,099",0.0,0.2,.,.,0.2,"3,518","11,010",.,.,"14,528",0.0,0.2,.,.,0.2,76,104,.,.,180,.,.,.,.,.,76,104,.,.,180,.,.,.,.,.,17.260,12.310,.,.,
2023,5860,Empire District Electric Co,MO,SWPP,"1,638","11,653",.,.,"13,291",0.3,0.6,.,.,0.9,"21,019","141,941",.,.,"162,959",0.4,0.6,.,.,1.0,313,"1,845",.,.,"2,158",386,225,.,.,611,313,"1,845",.,.,"2,158",386,225,.,.,611,13.828,13.181,.,.,
2023,5862,"Empire Electric Assn, Inc",CO,WACM,"1,666",205,.,.,"1,871",0.1,0.1,.,.,0.2,"24,881","2,698",.,.,"27,580",0.1,0.1,.,.,0.2,339,8,.,.,347,0,0,.,.,0,339,8,.,.,347,0,0,.,.,0,14.700,17.990,.,.,No website address available.
2023,5930,Village of Fairport - (NY),NY,NYIS,"2,178",231,0,0,"2,409",21.3,0.6,0.0,0.0,21.8,"21,776","2,776",0,0,"24,552",21.3,0.6,0.0,0.0,21.9,353,88,0,0,440,37,10,0,0,47,353,88,0,0,440,37,10,0,0,47,10.000,12.000,.,.,https://ieepny.com/annual-report/
2023,6022,City of Eugene - (OR),OR,BPAT,"2,959","7,778","3,583",0,"14,320",0.7,1.0,0.1,0.0,1.8,"47,048","133,004","53,745",0,"233,797",0.7,1.0,0.1,0.0,1.8,"2,105",434,305,0,"2,845",0,0,539,0,539,"2,105",434,305,0,"2,845",0,0,539,0,539,15.900,17.100,15.000,0.000,
2023,6198,"Farmers Electric Coop, Inc - (NM)",NM,SWPP,88,.,.,.,88,0.2,.,.,.,0.2,88,.,.,.,88,0.2,.,.,.,0.2,16,.,.,.,16,0,.,.,.,0,16,.,.,.,16,0,.,.,.,0,1.000,.,.,.,
2023,6374,Fitchburg Gas & Elec Light Co,MA,ISNE,"1,805","3,030",573,.,"5,408",0.6,0.4,0.1,.,1.1,"8,276","24,873","4,700",.,"37,849",0.6,0.4,0.1,.,1.1,940,"1,047",122,.,"2,109",403,516,60,.,979,940,"1,047",122,.,"2,109",403,516,60,.,979,4.585,8.209,8.202,.,http://www.mass.gov/utility-filings-and-tariffs
2023,6395,Flathead Electric Coop Inc,MT,BPAT,"5,166","5,364","5,190",.,"15,720",.,.,.,.,.,"78,884","75,042","72,037",.,"225,963",.,.,.,.,.,689,730,690,.,"2,108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.270,13.990,13.880,.,www.bpa.gov
2023,6452,Florida Power & Light Co,FL,FPL,"32,323","47,245",.,.,"79,568",12.0,11.0,.,.,23.0,"441,408","1,021,469",.,.,"1,462,877",12.0,11.0,.,.,23.0,"4,620","1,873",.,.,"6,493","5,124","1,194",.,.,"6,318","4,620","1,873",.,.,"6,493","5,124","1,194",.,.,"6,318",14.000,22.000,.,.,
2023,6455,"Duke Energy Florida, LLC",FL,FPC,"47,884","9,744",.,.,"57,628",23.2,4.7,.,.,27.9,"576,513","126,022",.,.,"702,535",23.2,4.7,.,.,27.9,"9,012",553,.,.,"9,565","7,272","2,072",.,.,"9,344","9,012",553,.,.,"9,565","7,272","2,072",.,.,"9,344",12.000,12.900,.,.,
2023,6457,Florida Public Utilities Co,FL,JEA,190,0,0,0,190,0.2,0.0,0.0,0.0,0.2,"1,898",0,0,0,"1,898",0.2,0.0,0.0,0.0,0.2,83,0,0,0,83,58,25,0,0,83,83,0,0,0,83,58,25,0,0,83,10.000,10.000,0.000,0.000,https://www.psc.state.fl.us/ar-demand-side
2023,6604,City of Fort Collins - (CO),CO,PSCO,"18,669","6,095","6,095",.,"30,858",0.2,0.4,0.4,.,1.0,"78,140","39,112","39,112",.,"156,363",0.2,0.4,0.4,.,1.0,"2,012",945,945,.,"3,901",745,344,344,.,"1,433","2,012",945,945,.,"3,901",745,344,344,.,"1,433",4.200,6.400,6.400,.,www.fcgov.com/conserves www.efficiencyworks.org
2023,6616,Fort Pierce Utilities Authority,FL,,120,.,.,.,120,0.0,.,.,.,0.0,"1,895",.,.,.,"1,895",0.0,.,.,.,0.0,25,.,.,.,25,2,.,.,.,2,25,.,.,.,25,2,.,.,.,2,15.750,.,.,.,www.fpua.com
2023,6640,Four County Elec Member Corp,NC,CPLE,"28,560",.,.,.,"28,560",1.3,.,.,.,1.3,"334,790",.,.,.,"334,790",1.3,.,.,.,1.3,14,.,.,.,14,454,.,.,.,454,14,.,.,.,14,454,.,.,.,454,10.000,.,.,.,
2023,6716,PUD No 1 of Franklin County,WA,BPAT,187,"2,310","8,379",.,"10,876",0.0,0.4,1.5,.,2.0,"7,798","27,857","89,278",.,"124,933",0.0,0.3,1.0,.,1.2,425,282,455,.,"1,162",0,0,0,.,0,425,282,455,.,"1,162",0,0,0,.,0,41.670,12.060,10.660,.,
2023,6782,Freeborn Mower Electric Cooperative,MN,MISO,"2,502","3,658",124,0,"6,284",0.1,0.3,0.0,0.0,0.4,"37,975","50,805","1,641",0,"90,421",0.1,0.3,0.0,0.0,0.4,337,134,3,0,474,302,58,0,0,360,337,134,3,0,474,302,58,0,0,360,15.178,13.889,13.233,0.000,
2023,6784,French Broad Elec Member Corp,NC,CPLE,"5,411",65,.,.,"5,476",1.1,0.0,.,.,1.1,"24,350",650,.,.,"25,000",1.1,0.0,.,.,1.1,.,.,.,.,.,102,5,.,.,107,.,.,.,.,.,102,5,.,.,107,8.330,12.000,.,.,
2023,6909,Gainesville Regional Utilities,FL,GVL,718,.,.,.,718,0.1,.,.,.,0.1,"10,770",.,.,.,"10,770",0.1,.,.,.,0.1,797,.,.,.,797,.,.,.,.,.,797,.,.,.,797,.,.,.,.,.,15.000,.,.,.,
2023,7004,"Buckeye Power, Inc",OH,PJM,"1,210","5,012",.,.,"6,222",0.4,0.9,.,.,1.3,"21,125","35,321",.,.,"56,446",0.4,0.9,.,.,1.3,539,198,.,.,737,0,0,.,.,0,539,198,.,.,737,0,0,.,.,0,18.000,7.000,.,.,
2023,7140,Georgia Power Co,GA,SOCO,"119,169","159,333",.,.,"278,502",13.5,24.3,.,.,37.8,"779,431","4,313,600",.,.,"5,093,031",11.9,92.6,.,.,104.4,"14,294","13,166",.,.,"27,460","12,685","12,835",.,.,"25,520","206,150","289,844",.,.,"495,994","136,824","198,028",.,.,"334,853",7.403,11.975,.,.,
2023,7264,"Glades Electric Coop, Inc",FL,SEC,54,4,0,0,58,0.0,0.0,0.0,0.0,0.0,666,50,0,0,715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,1,0,0,44,0,0,0,0,0,43,1,0,0,44,12.000,12.000,0.000,0.000,
2023,7294,City of Glendale - (CA),CA,LDWP,"10,023","8,599",.,.,"18,622",2.2,1.4,.,.,3.6,"30,346","103,185",.,.,"133,531",2.2,1.4,.,.,3.6,"2,604","3,933",.,.,"6,536",91,256,.,.,347,"2,604","3,933",.,.,"6,536",91,256,.,.,347,3.850,12.000,.,.,
2023,7353,Golden Valley Elec Assn Inc,AK,NA,15,.,.,.,15,0.0,.,.,.,0.0,641,.,.,.,641,0.0,.,.,.,0.0,0,.,.,.,0,2,.,.,.,2,0,.,.,.,0,13,.,.,.,13,5.000,.,.,.,
2023,7483,City of Grand Haven - (MI),MI,MISO,341,372,372,.,"1,085",0.0,0.0,0.0,.,0.1,"1,661","3,464","3,464",.,"8,589",0.0,0.0,0.0,.,0.1,56,21,21,.,98,16,82,82,.,180,56,21,21,.,98,16,82,82,.,180,9.320,6.530,6.530,.,
2023,7548,PUD No 1 of Grays Harbor County,WA,BPAT,917,615,"1,684",.,"3,216",0.1,0.1,0.2,.,0.4,"18,332","6,770","16,835",.,"41,937",0.1,0.1,0.2,.,0.4,646,138,189,.,974,284,11,3,.,298,646,138,189,.,974,284,11,3,.,298,20.000,11.000,10.000,.,
2023,7563,Grand Valley Power,CO,PSCO,10,.,.,.,10,0.0,.,.,.,0.0,108,.,.,.,108,0.0,.,.,.,0.0,0,.,.,.,0,2,.,.,.,2,0,.,.,.,0,2,.,.,.,2,10.000,.,.,.,
2023,7570,Great River Energy,MN,MISO,"33,448","29,823",.,.,"63,271",11.8,4.9,.,.,16.7,"549,212","406,492",.,.,"955,703",11.8,4.9,.,.,16.7,"3,659","1,757",.,.,"5,416","4,166","1,206",.,.,"5,371","3,659","1,757",.,.,"5,416","4,166","1,206",.,.,"5,371",16.420,13.630,.,.,
2023,7634,City of Greenville - (TX),TX,ERCO,3,.,.,.,3,0.0,.,.,.,0.0,3,.,.,.,3,0.0,.,.,.,0.0,2,.,.,.,2,0,.,.,.,0,2,.,.,.,2,0,.,.,.,0,1.000,.,.,.,
2023,7716,Groton Dept of Utilities - (CT),CT,ISNE,163,"2,001",0,0,"2,164",0.0,0.2,0.0,0.0,0.2,"2,186","16,524",0,0,"18,710",0.0,0.2,0.0,0.0,0.2,804,567,0,0,"1,371",21,261,0,0,282,804,567,0,0,"1,371",21,261,0,0,282,13.400,8.300,0.000,0.000,www.grotonutilities.com
2023,7785,"Gulf Coast Electric Coop, Inc",FL,SOCO,170,.,.,.,170,1.3,.,.,.,1.3,"1,696",.,.,.,"1,696",1.3,.,.,.,1.3,34,.,.,.,34,11,.,.,.,11,34,.,.,.,34,11,.,.,.,11,10.000,.,.,.,
2023,8319,Heartland Power Coop,IA,MISO,381,233,785,.,"1,399",0.0,0.0,0.1,.,0.2,"6,592","4,436","11,513",.,"22,541",0.0,0.0,0.1,.,0.2,39,16,8,.,64,1,0,0,.,1,39,16,8,.,64,1,0,0,.,1,17.301,19.082,14.667,.,
2023,8333,Haywood Electric Member Corp,NC,DUK,.,.,.,.,.,.,.,.,.,.,"2,280",.,.,.,"2,280",2.3,.,.,.,2.3,2,.,.,.,2,.,.,.,.,.,2,.,.,.,2,.,.,.,.,.,10.000,.,.,.,
2023,8449,Henderson City Utility Comm,KY,MISO,2,36,144,.,182,0.0,0.0,0.0,.,0.0,83,"5,223","20,614",.,"25,920",0.0,0.0,0.0,.,0.0,0,2,31,.,33,0,0,0,.,0,3,39,749,.,791,0,164,0,.,164,10.000,10.000,10.000,10.000,https://hmpl.com/led-imcentive-program.html
2023,8566,High Plains Power Inc,WY,WACM,69,206,0,0,275,0.0,0.0,0.0,0.0,0.0,"1,036","2,470",0,0,"3,505",0.0,0.0,0.0,0.0,0.0,17,0,0,0,17,0,0,0,0,0,28,39,0,0,67,0,0,0,0,0,15.640,12.000,.,.,Tri-State G&T
2023,8570,Highline Electric Assn,CO,WACM,745,53,160,.,958,0.1,0.0,0.1,.,0.2,"9,661",637,"2,756",.,"13,054",0.1,0.0,0.1,.,0.2,67,0,13,.,81,.,.,.,.,.,67,0,13,.,81,.,.,.,.,.,14.320,12.000,19.140,.,
2023,8570,Highline Electric Assn,NE,WACM,78,0,130,.,208,0.0,0.0,0.1,.,0.1,"1,092",.,"2,243",.,"3,335",0.0,.,0.1,.,0.1,12,.,13,.,25,.,.,.,.,.,12,.,13,.,25,.,.,.,.,.,10.600,.,19.270,.,
2023,8620,"HILCO Electric Cooperative, Inc.",TX,ERCO,380,.,.,.,380,0.1,.,.,.,0.1,380,.,.,.,380,0.1,.,.,.,0.1,37,.,.,.,37,.,.,.,.,.,37,.,.,.,37,.,.,.,.,.,1.000,.,.,.,
2023,8699,Inland Power & Light Company,ID,BPAT,11,91,.,.,102,0.0,0.0,.,.,0.0,38,365,.,.,403,0.0,0.0,.,.,0.0,1,2,.,.,3,0,0,.,.,0,1,2,.,.,3,0,0,.,.,0,7.729,2.568,.,.,
2023,8699,Inland Power & Light Company,WA,BPAT,516,"3,149",.,.,"3,665",0.1,0.4,.,.,0.4,"6,015","15,755",.,.,"21,770",0.1,0.4,.,.,0.4,231,"1,316",.,.,"1,546",.,.,.,.,.,231,"1,316",.,.,"1,546",.,.,.,.,.,9.054,14.030,.,.,
2023,8723,City of Holland,MI,MISO,"3,839","3,443","6,393",.,"13,675",2.3,0.5,1.1,.,3.9,"19,195","51,645","92,012",.,"162,852",2.3,0.5,1.1,.,3.9,388,300,557,.,"1,244",158,158,158,.,475,388,300,557,.,"1,244",158,158,158,.,475,5.000,15.000,14.000,.,
2023,8773,"Holy Cross Electric Assn, Inc",CO,PSCO,"2,180","2,142",0,0,"4,322",1.1,0.8,0.0,0.0,1.9,"26,432","29,129",0,0,"55,561",1.1,0.8,0.0,0.0,1.9,861,203,0,0,"1,064",190,45,0,0,234,862,203,0,0,"1,064",190,45,0,0,234,12.130,13.600,0.000,0.000,https://www.holycross.com/programs-overview/
2023,8774,City of Holyoke - (MA),MA,ISNE,101,39,0,0,140,0.1,0.0,0.0,0.0,0.1,"2,525",975,0,0,"3,500",0.1,0.0,0.0,0.0,0.1,130,0,0,0,130,376,600,0,0,976,130,0,0,0,130,376,600,0,0,976,25.000,25.000,25.000,25.000,
2023,8901,CenterPoint Energy,TX,ERCO,"77,816","107,252",0,0,"185,068",35.5,24.0,0.0,0.0,59.6,"1,195,977","1,486,911",0,0,"2,682,888",35.5,24.0,0.0,0.0,59.6,"16,952","13,577",0,0,"30,529","1,307","1,349",0,0,"2,656","16,952","13,577",0,0,"30,529","1,307","1,349",0,0,"2,656",15.369,13.967,0.000,0.000,https://interchange.puc.texas.gov/search/documents/?controlNumber=56003&itemNumber=6   
2023,9187,City of Idaho Falls - (ID),ID,PACE,271,"3,263",536,0,"4,070",0.1,0.6,0.1,0.0,0.7,"3,796","38,656","5,360",0,"47,812",0.1,0.6,0.1,0.0,0.7,494,650,67,0,"1,211",0,0,0,0,0,494,650,67,0,"1,211",0,0,0,0,0,14.000,11.850,10.000,0.000,
2023,9191,Idaho Power Co,ID,IPCO,"33,162","37,782","65,984",0,"136,928",3.8,4.3,7.5,0.0,15.6,"165,808","491,162","923,776",0,"1,580,746",3.8,4.3,7.5,0.0,15.6,624,"3,933","9,899",0,"14,456","5,934","4,070","5,134",0,"15,138",624,"3,933","9,899",0,"14,456","5,934","4,070","5,134",0,"15,138",5.000,13.000,14.000,0.000,https://www.idahopower.com/energy-environment/ways-to-save/energy-efficiency-program-reports/
2023,9191,Idaho Power Co,OR,IPCO,433,"1,137",984,0,"2,554",0.1,0.1,0.1,0.0,0.3,"2,164","14,776","13,782",0,"30,722",0.1,0.1,0.1,0.0,0.3,27,152,133,0,312,267,222,215,0,704,27,152,133,0,312,267,222,215,0,704,5.000,13.000,14.000,0.000,https://www.idahopower.com/energy-environment/ways-to-save/energy-efficiency-program-reports/
2023,9216,Imperial Irrigation District,CA,IID,"7,037","21,701",0,.,"28,738",4.1,1.6,0.0,.,5.7,"67,199","434,017",0,.,"501,216",4.1,1.6,0.0,.,5.7,"1,598",824,0,.,"2,422","2,967",908,0,.,"3,875","1,598",824,0,.,"2,422","2,967",908,0,.,"3,875",15.334,20.000,0.000,.,
2023,9231,City of Independence - (MO),MO,SWPP,384,0,0,0,384,0.4,0.0,0.0,0.0,0.4,"4,528",0,0,0,"4,528",0.3,0.0,0.0,0.0,0.3,59,111,.,.,170,24,.,.,.,24,59,111,.,.,170,24,.,.,.,24,15.676,.,.,.,
2023,9234,Indiana Municipal Power Agency,IN,MISO,20,11,.,.,31,0.0,0.0,.,.,0.0,100,55,.,.,155,0.0,0.0,.,.,0.0,2,2,.,.,4,.,.,.,.,.,2,2,.,.,4,.,.,.,.,.,5.000,5.000,.,.,
2023,9267,"Hoosier Energy R E C, Inc",IN,MISO,"3,159","1,691",.,.,"4,850",1.5,0.3,.,.,1.9,"56,564","19,391",.,.,"75,955",1.5,0.3,.,.,1.9,"1,378",153,.,.,"1,531",.,.,.,.,.,"1,378",153,.,.,"1,531",.,.,.,.,.,17.906,11.467,.,.,
2023,9273,AES Indiana,IN,MISO,"61,299","115,808",.,.,"177,107",10.6,16.4,.,.,27.0,"300,978","1,508,978",.,.,"1,809,956",10.6,16.4,.,.,27.0,"3,447","13,985",.,.,"17,432","13,720","7,552",.,.,"21,272","3,447","13,985",.,.,"17,432","13,720","7,552",.,.,"21,272",4.910,13.030,.,.,
2023,9286,Illinois Municipal Elec Agency,IL,MISO,164,.,"4,990",.,"5,154",0.0,.,0.8,.,0.8,657,.,"19,958",.,"20,615",0.0,.,0.8,.,0.8,10,.,837,.,847,5,.,41,.,46,10,.,837,.,847,5,.,41,.,46,4.000,.,4.000,.,
2023,9324,Indiana Michigan Power Co,IN,PJM,"21,026","72,326",.,.,"93,352",9.7,12.0,.,.,21.7,"211,249","660,701",.,.,"871,950",9.7,12.0,.,.,21.7,400,"4,008",.,.,"4,408","1,486","3,957",.,.,"5,443",400,"4,008",.,.,"4,408","1,486","3,957",.,.,"5,443",10.000,9.100,.,.,
2023,9324,Indiana Michigan Power Co,MI,PJM,"10,561","25,802","1,163",.,"37,526",1.5,6.0,0.3,.,7.8,"82,767","134,934","1,992",.,"219,693",1.5,6.0,0.3,.,7.8,533,"1,564",69,.,"2,166","1,165","1,384",61,.,"2,610",533,"1,564",69,.,"2,166","1,165","1,384",61,.,"2,610",7.800,5.200,1.700,.,
2023,9417,Interstate Power and Light Co,IA,MISO,"32,784","18,801","19,043",.,"70,628",2.7,3.1,5.5,.,11.4,"173,493","211,849","171,427",.,"556,769",2.7,3.1,5.5,.,11.4,"1,262","1,953","3,964",.,"7,179","6,575","1,796","2,009",.,"10,380","1,262","1,953","3,964",.,"7,179","6,575","1,796","2,009",.,"10,380",5.292,11.268,9.002,.,https://efs.iowa.gov/efs/ShowDocumentSearch.do?searchType=document
